iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
EGY,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,1046.3985280000002,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:41.861254
EGY,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,18922453.79,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:18.176575
EGY,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,16499.115045,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:41.861254
EGY,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,20584628.665172,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:18.176575
EGY,2015-01-01 00:00:00,2015-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,19661724.621179998,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:18.176575
EGY,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,1094.427271,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:18.028567
EGY,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,19458091.01,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:50.234463
EGY,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,16646.453264,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:18.028567
EGY,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,21145321.88372,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:50.234463
EGY,2016-01-01 00:00:00,2016-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,20214214.928207003,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:50.234463
EGY,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,1058.920172,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:10.029979
EGY,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,19448554.77,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:26.362146
EGY,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,16917.032565,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:27:10.029979
EGY,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,21149140.430868,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:26.362146
EGY,2017-01-01 00:00:00,2017-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,20202845.5274,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:26.362146
EGY,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,985.950944,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:46.638428
EGY,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,19515269.509999998,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:04.404879
EGY,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,17013.23639,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:46.638428
EGY,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,21204672.415975995,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:04.404879
EGY,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,20252917.129079998,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:07:04.404879
EGY,2019-01-01 00:00:00,2019-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,985.763066,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:39.361463
EGY,2019-01-01 00:00:00,2019-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,19429703.32,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:06:37.911555
EGY,2019-01-01 00:00:00,2019-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,17007.362107,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:39.361463
EGY,2019-01-01 00:00:00,2019-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,21118563.186412,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:06:37.911555
EGY,2019-01-01 00:00:00,2019-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,20167136.671486,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:06:37.911555
EGY,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,849.8274839999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:25.219639
EGY,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,17398568.4,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:06:19.386003
EGY,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,16914.379482,tonnes,,2022-09-06 12:39:52.76017,2022-10-05 21:26:25.219639
EGY,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,19043730.732263997,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:06:19.386003
EGY,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,18097375.308755998,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:06:19.386003
EGY,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,922.431691,tonnes,,2022-09-07 09:56:37.90632,2022-10-05 21:26:08.430302
EGY,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,18761953.83,tonnes,,2022-09-07 09:56:37.90632,2022-10-19 16:05:52.588433
EGY,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,17021.422299,tonnes,,2022-09-07 09:56:37.90632,2022-10-05 21:26:08.430302
EGY,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,20435275.269539997,tonnes,,2022-09-07 09:56:37.90632,2022-10-19 16:05:52.588433
EGY,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,19482998.052487,tonnes,,2022-09-07 09:56:37.90632,2022-10-19 16:05:52.588433
